iter	Passed	Remaining
0	0	78
1	1	77
2	2	77
3	3	75
4	4	76
5	5	83
6	6	83
7	7	80
8	7	80
9	8	78
10	9	76
11	10	75
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	71
18	16	70
19	17	69
20	18	68
21	18	67
22	20	69
23	21	68
24	22	67
25	23	66
26	24	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	30	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
